Catégorie;Désignation;Unité;Prix TTC (Ar);Fournisseur;Ville;Région;Disponibilité;Date du prix;Source
Électricité;Interrupteur double encastré YAKI blanc/doré;pièce;10800;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/interrupteur-double-simple-encastre-yakiblanc-dore/
Électricité;Ampoule LED E27 5W;pièce;3200;Bricodis;Antananarivo;Analamanga;Disponible (prix spécial);2026-09-18;https://www.bricodis.mg/product/ampoule-led-e27-5w/
Électricité;Ampoule LED 9W blanc;pièce;8100;Bricodis;Antananarivo;Analamanga;Disponible;2026-09-18;https://www.bricodis.mg/product/ampoule-led-9watt-blanc-refms-g45lb-w-9w/
Électricité;Ampoule LED E27 9W 6500K;pièce;8520;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/157480
Électricité;Ampoule halogène 28W;pièce;19153;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/34177
Quincaillerie;Boulon zingué 24×80mm avec écrou et rondelles;pièce;21841;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/boulons-et-vis-mecaniques/12074-boulonecrou2rond-24x80-qualite-10-9-zingue-0215636.html
Quincaillerie;Boulon écrou 2 rondelles 18×75 zingué;pièce;7524;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/boulons-et-vis-mecaniques/58668-boulonecrou2rond-18x75-qualite-10-9-zingue.html
Quincaillerie;Boulon écrou 2 rondelles 22×70 zingué;pièce;20691;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/boulons-et-vis-mecaniques/58664-boulonecrou2rond-22x70-qualite-10-9-zingue.html
Quincaillerie;Boulon écrou 2 rondelles 22×80 zingué;pièce;18392;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/58665-boulonecrou2rond-22x80-qualite-10-9-zingue.html
Quincaillerie;Boulon écrou 2 rondelles 20×90 Chavesbao;pièce;13063;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/48521-boulon-ecrou-2-rondelles-20x90-mm-109-hv-0215637.html
Quincaillerie;Équerre d'assemblage plate L.160mm;pièce;11400;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/81031-equerre-d-assemblage-plate-acier-zingue-l160-mm.html
Quincaillerie;Charnière forte acier volets battants 40×100mm;pièce;46000;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/75286-charniere-forte-acier-pour-volets-battants-l40-x-l100-mm.html
Quincaillerie;Charnière va-et-vient 30/100mm;pièce;128250;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/4222-charniere-v-vient-30-100mm-0230334.html
Quincaillerie;Cheville métallique à expansion plafond alu;pièce;1200;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/plf053-cheville-metallique-explosive-bolt-plafond-alu-27510
Quincaillerie;Cadenas Total 40mm laiton;pièce;25466;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/86840
Quincaillerie;Cadenas Godrej 70mm;pièce;156000;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/sgj333-cadenas-godrej-70mm-eix-sherlock-pc-7685-46171501sd00564-69933
Location / engins;Location échafaudage tubulaire 250m² (15 jours);forfait (15 jours / 250 m²);1408365;CYPE (prix de référence Madagascar);;;Prix de référence, pas un devis d'un loueur en particulier;2026-09-18;https://madagascar.prix-construction.info/construction_neuve/Interventions_prealables/PH_Equipements_pour_travaux_en_ha/Echafaudages/PHE010_Location_d_un_echafaudage_tubulaire.html
Location / engins;Location grue à tour flèche 40m (mensuel);mois;6207398;CYPE (prix de référence Madagascar);;;Prix de référence, pas un devis d'un loueur en particulier;2026-09-18;https://madagascar.prix-construction.info/construction_neuve/Interventions_prealables/PH_Equipements_pour_travaux_en_ha/Grues_a_tour/Location_d_une_grue_a_tour.html
Location / engins;Location pompe submersible 3 CV (journalier);jour;143184;CYPE (prix de référence Madagascar);;;Prix de référence, pas un devis d'un loueur en particulier;2026-09-18;https://madagascar.prix-construction.info/renovation/VRD_et_amenagements_exterieurs/Terrassement/Systemes_de_pompage/ATP060_Location_d_une_pompe_submersible_de.html
Location / engins;Location monte-charges 300kg (mensuel);mois;2040499;CYPE (prix de référence Madagascar);;;Prix de référence, pas un devis d'un loueur en particulier;2026-09-18;https://madagascar.prix-construction.info/renovation/Interventions_prealables/PH_Equipements_pour_travaux_en_ha/Monte-charges/Location_d_un_monte-charges.html
Location / engins;Location WC portable de chantier (mensuel);mois;1349368;CYPE (prix de référence Madagascar);;;Prix de référence, pas un devis d'un loueur en particulier;2026-09-18;https://madagascar.prix-construction.info/renovation/Securite_et_sante/SP_Installations_provisoires_d_hy/SPC_Cabines_(location_construction/Location_d_un_WC_portable.html
Sanitaire;Lavabo suspendu Piccolo blanc Gravena;pièce;690000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/lavabo/
Sanitaire;Lavabo rond blanc avec colonne 50×41cm;pièce;92000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/lavabo/
Sanitaire;Lavabo Albany pierre naturelle;pièce;1250000;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/132166
Sanitaire;Lavabo avec colonne DP875 blanc;pièce;205700;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/product/snl611-lavabo-avec-colonne-dp875-blanc-80401
Sanitaire;Lavabo collectif Joy 121×46;pièce;1605500;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/lavabo-semi-colonne/77594-lavabo-collectif-joy-121x46.html
Sanitaire;WC horizontal Clara Gravena;pièce;977500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/wc/
Sanitaire;WC monobloc blanc P-Trap 690×360×780mm;pièce;920000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/wc/
Sanitaire;WC intelligent suspendu céramique IP44;pièce;3737500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/wc/
Sanitaire;WC complet horizontal Sanitana Pop n°3;pièce;766320;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/product/snw105-wc-complet-dp-horizontal-blanc-pop-sanitana-n-3-prtgl-51142
Sanitaire;Pack WC Adele complet;ensemble;740000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/accueil/19163-adele-pack-wc-sh-cuvette-reservoir-abattant-0510525.html
Sanitaire;Receveur de douche ardoise 120×80cm;pièce;1380000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/receveur-de-douche/
Sanitaire;Receveur de douche d'angle 70×70cm;pièce;145600;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/receveur-de-douche/
Sanitaire;Cabine de douche carrée noire 90×90cm;pièce;1552500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/cabine-de-douche/
Sanitaire;Cabine de douche quart de cercle 80×80cm;pièce;872900;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/cabine-de-douche/
Sanitaire;Chauffe-eau instantané Altech 3,5kW;pièce;385000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/chauffe-eau-electrique/
Sanitaire;Chauffe-eau électrique Altech 100L 2000W;pièce;825000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/chauffe-eau-electrique/
Sanitaire;Chauffe-eau électrique Altech 50L 1500W;pièce;632500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/chauffe-eau-electrique/
Sanitaire;Chauffe-eau électrique horizontal 100L Thermor;pièce;1100000;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/68248
Sanitaire;Chauffe-eau électrique Isea 50L horizontal;pièce;888700;Batimax;Antananarivo;Analamanga;Disponible dans les agences Batimax;2026-09-18;https://www.batimax-mada.com/shop/product/adc268-chauffe-eau-elc-isea-50l-1-5kw-1500w-220v-50hz-horiz-hb050-gra24f03-prix-net-1170
Sanitaire;Chauffe-eau Atlantic VM 50L Steatite;pièce;759050;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/chauffe-eau-a-ballon/16840-chauffe-eau-atlantic-vm-50l-steatite-0436079.html
Sanitaire;Evier inox simple bac 510×160mm;pièce;92000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/evier/
Sanitaire;Evier acrylique double bac 1160×500×220mm;pièce;897000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/evier/
Sanitaire;Evier acier inoxydable 580×430×200mm;pièce;97800;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/sanitaire/evier/
Menuiserie;Fenêtre à lames alu Naco 8 lames 1,14m;paire;85000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/fenetres-a-lames/34979-naco-aluminium-8-lames-114m-la-paire-1038015.html
Menuiserie;Porte semi-vitrée alu 900×2100 blanc;pièce;999000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/porte-semi-vitree-alu-1-vantail-900x2100x1-4mm-refammd02-white/
Menuiserie;Porte semi-vitrée alu 900×2100 noir;pièce;999000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/porte-semi-vitree-alu-1-vantail-900x2100x1-4mm-refammd02-black/
Menuiserie;Porte pleine alu ouvrante 900×2100 noir;pièce;999000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/porte-pleine-alu-ouvrante-1-vantail-900x2100x1-4mm-refammd01-black/
Menuiserie;Fenêtre alu coulissante 1000×1000 blanc;pièce;450000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/fenetre-alu-coulissante-1000x1000mm-blanc-refw1/
Menuiserie;Fenêtre alu coulissante 1000×1000 noir;pièce;450000;Bricodis;Antananarivo;Analamanga;Rupture de stock;2026-09-18;https://www.bricodis.mg/product/fenetre-alu-coulissante-1000x1000mm-noir-refw2/
Menuiserie;Bloc-porte isoplane bois 2100×900 gris foncé;pièce;520000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/bloc-porte-isoplane-gris-fonce-2100x900x40-mm-poignee-noire/
Menuiserie;Bloc porte complet blindé 205×120;pièce;1495000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/bloc-porte-main/bloc-porte-complet/
Menuiserie;Bloc porte complet blindé 205×90;pièce;920000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/bloc-porte-main/bloc-porte-complet/
Menuiserie;Bloc porte complet Armadeo Bella Door;pièce;2185000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product-category/bloc-porte-main/bloc-porte-complet/
Menuiserie;Porte métallique blanche 2050×1500 ouv. droite;pièce;2067000;Batimax;Antananarivo;Analamanga;Disponible à l'achat;2026-09-18;https://batimax-mada.com/shop/product/pom186-porte-met-ouverture-droite-ext-blanc-2050x1500-mm-jc-s6045-u986246-28250
Menuiserie;Porte métallique noire 2050×960 ouv. gauche;pièce;1172000;Batimax;Antananarivo;Analamanga;Disponible à l'achat;2026-09-18;https://www.batimax-mada.com/shop/product/pom183-porte-met-ouverture-gauche-int-noir-2050x960-mm-jc-s6045-u986243-28247
Menuiserie;Porte MDF motif PVC 2010×838 Red Walnut;pièce;695100;Batimax;Antananarivo;Analamanga;;2026-09-18;https://batimax-mada.com/shop/product/pod144-porte-mdf-avec-motif-en-pvc-2010x838x40mm-kdpvc07-dcf-red-walnut-sans-bande-74133
Menuiserie;Vitrage plexiglass transparent UV 5mm 2440×1220;pièce (plaque);826000;Batimax;Antananarivo;Analamanga;Disponible à l'achat;2026-09-18;https://www.batimax-mada.com/shop/product/plp035-plexiglass-2440-x-1220-x-5-mm-transparent-uv-21404012-27766
Menuiserie;Vitrage plexiglass blanc 5mm 2440×1220;pièce (plaque);880000;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/category/menuiserie-plexi-622
Peinture;Peinture Eagle blanc intérieur 20kg;20 kg;99000;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/peinture-acrylique-mur-et-plafond/28900-peinture-a-l-eau-int-blanche-20kg-eagle-0628938.html
Peinture;Floorcote peinture sol gris 5L;bidon 5L;274550;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/produits-remises/29836-floorcote-peinture-sol-interieur-exterieur-gris-5l-mono-composant-0640130.html
Peinture;Peinture ALGO blanc extérieur 20kg;20 kg;116490;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/product/phe013-peinture-a-l-eau-blanc-exterieur-20kg-algo-prix-net-70101
Peinture;Peinture MS vert avocat int/ext 30kg;30 kg;101500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/peinture-a-leau-interieur-exterieur-ms-30kg-vert-avocat/
Peinture;Peinture MS blanc int/ext 4kg;4 kg;17500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/peinture-a-l-eau-ms-paint-4kg-blanc/
Peinture;Peinture pour tôle Orient Plus rouge brun 20kg;20 kg;100100;Bricodis;Antananarivo;Analamanga;Rupture de stock;2026-09-18;https://www.bricodis.mg/product/peinture-pour-tole-orient-plus-20kg-rouge-brun/
Peinture;Primaire d'accrochage Bitunil 15kg;15 kg;133800;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/101186
Peinture;Peinture Indigo Line acrylique blanc 25kg;25 kg;198500;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/588
Peinture;Peinture Valnyl extérieur blanc 25kg;25 kg;228200;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/list/categ/592
Adjuvants / produits chimiques;Adjuvant RD Polybéton 1L;bidon 1L;36100;Sanifer;Antananarivo;Analamanga;;2026-09-18;https://www.sanifer.mg/etancheite-et-impermeabilisant-beton/50792-adjuvant-rd-polybeton-1-litre-1032132.html
Adjuvants / produits chimiques;Hydrofuge de masse Sika liquide 2L;bidon 2L;112250;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/101266
Adjuvants / produits chimiques;Adjuvant Sika Super Sikalite 1kg;boîte 1kg;8200;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/101294
EPI / sécurité;Casque de chantier blanc Delta Plus;pièce;73830;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/98436
EPI / sécurité;Casque antibruit EP101-56;pièce;3700;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/98422
EPI / sécurité;Casque de soudeur Casoud 3;pièce;93600;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/98435
EPI / sécurité;Casque de chantier orange 48 mois;pièce;8700;Batimax;Antananarivo;Analamanga;;2026-09-18;https://www.batimax-mada.com/shop/product/qus417-casque-de-chantier-orange-ms01035-65691
EPI / sécurité;Chaussures de sécurité S3 cuir nubuck P44;paire;117000;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/98462
EPI / sécurité;Chaussures de sécurité hautes P42;paire;134820;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/98448
EPI / sécurité;Chaussures de sécurité électricien P42;paire;142417;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/91018
EPI / sécurité;Chaussures de sécurité cuir véritable;paire;126000;Bricodis;Antananarivo;Analamanga;Rupture de stock;2026-09-18;https://www.bricodis.mg/product/chaussure-de-securite-en-cuir-veritable/
EPI / sécurité;Chaussures de sécurité S1 noires P39;paire;99400;Batimax;Antananarivo;Analamanga;En stock;2026-09-18;https://www.batimax-mada.com/shop/product/qus402-chaussure-de-securite-s1-p39-noir-pair-secur-956114n-62132
EPI / sécurité;Gants nitrile travail de précision;paire;6650;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/gants-de-protection/83097-gants-pour-le-travail-de-precision-nitrile.html
EPI / sécurité;Gants polyamide taille 7;pièce;6175;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/gants-de-protection/26677-gants-tricot-polyester-taille-7--0110583.html
EPI / sécurité;Gants nitrile taille XL;paire;4500;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/98592
EPI / sécurité;Gants de chantier cuir jaune 26cm;paire;11500;Batimax;Antananarivo;Analamanga;En stock;2026-09-18;https://www.batimax-mada.com/shop/product/qus110-gant-de-chantier-26cm-ts113-10-5-ms01104-jaune-pair-45997
EPI / sécurité;Harnais antichute 2 points d'accrochage;pièce;141240;ABC/Bricorama;Antananarivo;Analamanga;;2026-09-18;https://www.abc.mg/product/98665
EPI / sécurité;Gilet haute visibilité jaune XXL;pièce;10700;Batimax;Antananarivo;Analamanga;En stock;2026-09-18;https://www.batimax-mada.com/shop/product/qus120-gilet-jaune-qlty-ce2109-120grs-taille-xxl-mk10606-46007
EPI / sécurité;Lunettes de protection anti-buée EN166;pièce;58900;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/79109-lunette-de-protection-anti-buee-norme-en166-s-b.html
EPI / sécurité;Lunettes de sécurité teintées noires;pièce;4750;Sanifer;Antananarivo;Analamanga;Livraison express;2026-09-18;https://www.sanifer.mg/eligible-a-la-livraison-express/86061-lunette-de-securite-teinte-noir-worksite.html
EPI / sécurité;Lunettes de protection souples;paire;6200;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/98707
Clôture / portail / voirie;Grillage métallique maille 12×12mm;pièce;41900;Batimax;Antananarivo;Analamanga;En stock;2026-09-18;https://www.batimax-mada.com/shop/product/gab069-grillage-metallique-h-1x-l-1m-1-6mm-maille-12x12mm-3080305044-20262
Clôture / portail / voirie;Grillage torsion plastifié vert 2,5m rouleau 25m;rouleau;636650;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/83594
Clôture / portail / voirie;Grillage torsion plastifié vert 1,5m rouleau 25m;rouleau;360000;ABC/Bricorama;Antananarivo;Analamanga;En stock;2026-09-18;https://www.abc.mg/product/83593
Clôture / portail / voirie;Poteau grillage clôture;pièce;86300;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/poteau-grillage-cloture/
Clôture / portail / voirie;Panneau grillage clôture 2×2,05m;pièce;200000;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/grillage-pour-cloture-2-2-05m/
Clôture / portail / voirie;Poteau clôture RAL6005 H2,4m;pièce;123600;Batimax;Antananarivo;Analamanga;En stock;2026-09-18;https://www.batimax-mada.com/shop/product/gab126-poteau-50-x-50-x-1-50mm-ral6005-h-2400mm-kcl-turquie-75702
Clôture / portail / voirie;Portillon grillage clôture;pièce;862500;Bricodis;Antananarivo;Analamanga;;2026-09-18;https://www.bricodis.mg/product/portillons-pour-grillage-cloture/
